experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda
396,4,fragcg,2019-07-21,5,6,1,0,0.001,1000
397,4,fragcg,2019-07-21,5,3,1,0,0.001,100
398,4,fragcg,2019-07-21,5,3,1,0,0.001,500
399,4,fragcg,2019-07-21,5,3,1,0,0.001,1000
400,4,fragcg,2019-07-21,7,6,1,0,0.001,100
401,4,fragcg,2019-07-21,7,6,1,0,0.001,500
402,4,fragcg,2019-07-21,7,6,1,0,0.001,1000
403,4,basisip,2019-07-28,5,6,1,0,0.001,100
404,4,basisip,2019-07-28,5,6,1,0,0.001,500
405,4,basisip,2019-07-28,5,6,1,0,0.001,1000
406,4,basisip,2019-07-28,5,3,1,0,0.001,100
407,4,basisip,2019-07-28,5,3,1,0,0.001,500
408,4,basisip,2019-07-28,5,3,1,0,0.001,1000
409,4,basisip,2019-07-28,7,6,1,0,0.001,100
410,4,basisip,2019-07-28,7,6,1,0,0.001,500
411,4,basisip,2019-07-28,7,6,1,0,0.001,1000
412,4,fragcg,2019-07-28,5,6,1,0,0.001,100
413,4,fragcg,2019-07-28,5,6,1,0,0.001,500
414,4,fragcg,2019-07-28,5,6,1,0,0.001,1000
415,4,fragcg,2019-07-28,5,3,1,0,0.001,100
416,4,fragcg,2019-07-28,5,3,1,0,0.001,500
417,4,fragcg,2019-07-28,5,3,1,0,0.001,1000
418,4,fragcg,2019-07-28,7,6,1,0,0.001,100
419,4,fragcg,2019-07-28,7,6,1,0,0.001,500
420,4,fragcg,2019-07-28,7,6,1,0,0.001,1000
421,4,basisip,2019-08-04,5,6,1,0,0.001,100
422,4,basisip,2019-08-04,5,6,1,0,0.001,500
423,4,basisip,2019-08-04,5,6,1,0,0.001,1000
424,4,basisip,2019-08-04,5,3,1,0,0.001,100
425,4,basisip,2019-08-04,5,3,1,0,0.001,500
426,4,basisip,2019-08-04,5,3,1,0,0.001,1000
427,4,basisip,2019-08-04,7,6,1,0,0.001,100
428,4,basisip,2019-08-04,7,6,1,0,0.001,500
429,4,basisip,2019-08-04,7,6,1,0,0.001,1000
430,4,fragcg,2019-08-04,5,6,1,0,0.001,100
431,4,fragcg,2019-08-04,5,6,1,0,0.001,500
432,4,fragcg,2019-08-04,5,6,1,0,0.001,1000
433,4,fragcg,2019-08-04,5,3,1,0,0.001,100
434,4,fragcg,2019-08-04,5,3,1,0,0.001,500
