ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_bns_rundate2022-03-24,4,bns,4,9,12,9.068318572,260.7846741,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,8,2,12,9.515706389,252.4588071,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,2,5,6,3.774056944,117.432144,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,4,10,12,7.832734444,226.3188365,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,12,15,6,3.592126888,81.51182554,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,15,22,6,5.777241231,217.7409579,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,42,46,12,7.922341026,192.7261489,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,28,27,6,5.794532967,166.7754792,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,16,21,12,9.617983038,267.8368553,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,3,4,6,3.991886451,88.0628709,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,2,3,6,2.014879861,52.02696769,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,43,44,6,4.698885321,135.0605525,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,64,60,12,6.749555884,220.1473055,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,27,28,12,6.049728174,166.7754792,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,29,27,12,11.62853831,258.2173585,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,5,10,12,8.56993132,212.9683825,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,52,46,12,6.872102929,200.0519363,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,50,45,12,7.113728792,220.8150756,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,5,6,6,4.103749657,86.19568473,1,1,0,0
ex4_bns_rundate2022-03-24,4,bns,6,9,12,7.674605278,165.6189419,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,59,48,24,23.59832028,245.2285457,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,15,29,24,18.60927163,408.712906,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,9,1,12,10.01845272,339.2183154,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,49,59,24,20.49691306,188.4171927,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,56,55,24,20.70656347,36.13782098,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,16,13,12,6.547344583,192.1812929,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,61,53,18,15.80335333,215.1435699,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,27,32,48,44.7221205,271.8680854,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,36,28,24,18.62479447,292.1540502,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,4,5,12,6.549100001,128.6999858,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,51,63,36,34.29257854,371.0323075,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,18,21,12,11.70002823,206.6647572,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,20,13,66,65.39982139,132.3972031,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,57,62,24,18.47220833,435.342764,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,23,16,18,17.59698931,238.3076547,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,62,53,18,13.75360299,261.6335316,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,22,15,12,6.594898214,217.7409579,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,52,51,12,7.028054074,226.0523524,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,6,11,12,6.800324389,240.8789548,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,22,35,24,20.80852046,397.3191564,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,9,6,12,7.674605278,165.6189419,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,66,63,18,17.57798659,330.7417168,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,29,22,12,9.163609909,195.1563521,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,17,10,18,16.41826296,285.4546348,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,23,21,18,13.36683194,222.2745287,0,0,0,0
ex4_bns_rundate2022-03-24,4,bns,34,37,24,18.74998763,300.2029906,0,0,0,0
