method,example,orderid,ordercompleted,orderdist,ordershortestdist,orderdetour,ordertime,ordershortesttime,orderdelay
otd,4,256,1,1437.9154074,1338.034753,0.07464727965851284,54.092069787,48.09206979,0.12476069387738464
otd,4,257,1,472.21983449999993,459.8546127,0.026889415607681943,15.050518333,15.05051833,1.9932877570738583e-10
otd,4,258,1,739.3240923,739.3240923,0.0,29.029069070000006,23.02906907,0.26054027549972547
otd,4,259,1,915.3191413000001,915.3191413,1.2420458897008323e-16,37.467738413000006,31.46773841,0.19067147199537193
otd,4,260,1,472.21983449999993,459.8546127,0.026889415607681943,15.050518333,15.05051833,1.9932877570738583e-10
otd,4,261,1,250.2220457,250.2220457,0.0,14.068437770999992,8.068437771,0.7436383808480878
otd,4,262,1,949.97103311,931.3233575,0.020022772391381758,29.94232708,29.94232708,0.0
otd,4,263,1,757.6036626,739.9753443,0.023822845498556493,39.297454802999994,29.58862278,0.32812720264771955
otd,4,264,1,334.3316596,334.3316596,0.0,14.877460834000004,8.877460834,0.6758689350698637
otd,4,265,1,293.7092126,293.7092126,0.0,14.198913614999995,8.198913615,0.7318042708759525
otd,4,266,1,1548.166193,1538.477491,0.006297590999334237,75.16200976900001,63.16200977,0.18998762139927416
otd,4,267,1,1100.0627087999999,855.4680012,0.2859191778732774,51.20443652,39.20443652,0.3060878070235302
otd,4,268,1,377.3568457,377.3568457,0.0,11.722140250999999,11.72214025,8.53084269891724e-11
otd,4,269,0,,,,,,
otd,4,270,0,,,,,,
otd,4,271,1,1618.6659639000002,1609.515771,0.005685059484887826,85.18612445599999,67.18612446,0.26791246169760075
otd,4,272,1,412.89731,408.712906,0.010238003103332463,13.927844098999998,13.9278441,-7.179878913632365e-11
otd,4,273,1,1558.5961068,1501.230021,0.03821272223279089,75.16200976900001,63.16200977,0.18998762139927416
otd,4,274,1,585.9721581,492.1814621,0.1905612121184359,45.621779987,23.39329694,0.9502073651273883
otd,4,275,1,230.5080549,230.5080549,0.0,9.204436520000002,9.20443652,2.220446049250313e-16
otd,4,276,1,1426.4345968,1385.63062,0.02944794681283826,81.460181794,57.46018179,0.4176805442717342
otd,4,277,1,334.3316596,334.3316596,0.0,8.703897499999997,8.7038975,-4.440892098500626e-16
otd,4,278,1,270.9805777,270.9805777,0.0,8.537859669,8.187683389,0.04276866402411872
otd,4,279,1,223.8970149,223.8970149,0.0,7.753692830000006,7.75369283,6.661338147750939e-16
otd,4,280,1,274.0342071,274.0342071,0.0,10.149141869999994,10.14914187,-5.551115123125783e-16
otd,4,281,0,,,,,,
otd,4,282,0,,,,,,
otd,4,283,1,519.70408973,512.6036821,0.01385165163252726,54.800324389,24.80032439,1.2096615966481719
otd,4,284,1,223.8970149,223.8970149,0.0,7.753692830000006,7.75369283,6.661338147750939e-16
otd,4,285,0,,,,,,
otd,4,286,1,377.3568457,377.3568457,0.0,11.722140250999999,11.72214025,8.53084269891724e-11
otd,4,287,0,,,,,,
otd,4,288,1,1690.0862042,1680.397502,0.00576572042535688,77.08206563499999,67.67460528,0.13901019911497303
otd,4,289,0,,,,,,
otd,4,290,1,287.3163387,287.3163387,0.0,10.572272800000007,10.5722728,6.661338147750939e-16
otd,4,291,1,125.6224314,125.6224314,0.0,4.5535626759999985,4.553562676,-4.440892098500626e-16
otd,4,292,1,615.3632823,610.6440523,0.007728282920672015,23.94232708,17.94232708,0.33440478335099
otd,4,293,1,1154.74802585,1130.301764,0.021628084312181897,38.545043680999996,37.97987556,0.014880725980977783
otd,4,294,0,,,,,,
otd,4,295,0,,,,,,
otd,4,296,1,179.6379295,179.6379295,0.0,6.570260496000003,6.570260496,4.440892098500626e-16
otd,4,297,1,451.04712659999996,451.0471266,-1.2602545390166778e-16,19.612384840999994,19.61238484,5.0987880584330014e-11
otd,4,298,1,179.6379295,179.6379295,0.0,7.710116201999995,7.710116202,-6.661338147750939e-16
otd,4,299,1,179.6379295,179.6379295,0.0,6.570260496000003,6.570260496,4.440892098500626e-16
otd,4,300,1,246.8461583,246.8461583,0.0,6.517231280000004,6.51723128,6.661338147750939e-16
otd,4,301,0,,,,,,
otd,4,302,1,1139.3441793499999,1114.774045,0.02204046143718747,56.545043680999996,43.97987556,0.2857026756216676
otd,4,303,0,,,,,,
otd,4,304,1,479.10095920000003,479.1009592,1.1864601347433082e-16,25.311860140999997,19.31186014,0.31068990545205954
otd,4,305,1,245.5998838,245.5998838,0.0,14.245203931000006,8.245203931,0.7276957671648892
otd,4,306,0,,,,,,
otd,4,307,1,135.3026374,135.3026374,0.0,4.6799275009999945,4.679927501,-1.1102230246251565e-15
otd,4,308,1,472.5859265,472.5859265,0.0,24.800324388999996,18.80032439,0.31914342936505014
otd,4,309,0,,,,,,
otd,4,310,1,697.380606,685.0153842,0.018051013284089645,39.050518333,27.05051833,0.4436144201233869
otd,4,311,1,959.7502327,639.7395193,0.5002203299088889,51.434176667,27.20443652,0.8906539978943111
otd,4,312,0,,,,,,
otd,4,313,1,855.8312169000001,840.6941626,0.018005423343473617,29.94232708,23.94232708,0.25060220670914
otd,4,314,1,949.97103311,931.3233575,0.020022772391381758,65.94232708000001,29.94232708,1.2023113602297881
otd,4,315,1,385.5142457,385.5142457,0.0,12.630303351999999,12.63030335,1.5834911160084175e-10
otd,4,316,0,,,,,,
otd,4,317,1,179.6379295,179.6379295,0.0,13.710116201999995,7.710116202,0.7781983880403252
otd,4,318,1,1154.74802585,1130.301764,0.021628084312181897,44.545043680999996,37.97987556,0.17285912668745973
otd,4,319,0,,,,,,
otd,4,320,1,659.5216215,650.1486318,0.01441668757196339,23.082065635000006,23.08206564,-2.1661805682526847e-10
otd,4,321,1,585.9721581,492.1814621,0.1905612121184359,27.621779986999996,23.39329694,0.18075618233057833
otd,4,322,1,334.3316596,334.3316596,0.0,14.703897499999997,8.7038975,0.6893463531710933
otd,4,323,1,653.1320501,651.3577057,0.002724070636568533,34.781224965999996,28.78122497,0.2084692365336802
otd,4,324,1,1042.9058562,1040.868426,0.0019574329945137724,49.186124456,43.18612446,0.1389335132759444
otd,4,325,1,1368.4439182,1364.211363,0.003102565566300892,75.069236822,56.83286764,0.32087716033468117
otd,4,326,1,1284.4933891,1249.859678,0.02771007954702578,60.092069787,42.09206979,0.42763399582874273
otd,4,327,1,243.7285709,243.7285709,0.0,13.611883319,7.611883319,0.7882411945311112
otd,4,328,1,659.5216215,650.1486318,0.01441668757196339,23.546718436000006,20.83286764,0.13026775011949376
otd,4,329,0,,,,,,
otd,4,330,1,959.7502327,639.7395193,0.5002203299088889,51.434176667,27.20443652,0.8906539978943111
otd,4,331,1,846.0830649000001,788.7169795,0.07273342262311482,41.764993770000004,24.42,0.7102782051597052
otd,4,332,1,1548.1661930000002,1538.477491,0.006297590999334386,71.08206563499999,65.08206564,0.09219129626568501
otd,4,333,0,,,,,,
otd,4,334,1,1029.264424,969.7069722,0.06141798863720696,85.467738413,43.46773841,0.966233844669905
otd,4,335,0,,,,,,
otd,4,336,1,496.78456,496.78456,0.0,20.279942196999997,20.2799422,-1.479295574924322e-10
otd,4,337,1,332.583665,332.583665,0.0,11.537518890000001,11.53751889,2.220446049250313e-16
otd,4,338,1,1045.23956073,818.8787098,0.2764278130827037,57.20443652,39.20443652,0.4591317105352952
otd,4,339,0,,,,,,
otd,4,340,1,853.0403746000001,853.0375549,3.305481668227833e-6,40.679927500999995,34.6799275,0.1730107423379128
otd,4,341,0,,,,,,
otd,4,342,0,,,,,,
otd,4,343,1,855.8312169000001,840.6941626,0.018005423343473617,23.94232708,23.94232708,0.0
otd,4,344,1,377.3568457,377.3568457,0.0,11.476895686999995,11.47689569,-2.6139501674293797e-10
otd,4,345,1,740.5488593,725.2879329,0.021041197168386004,29.667838673000006,23.66783867,0.25350857282144923
otd,4,346,1,485.2423363,485.2423363,0.0,20.89976935,20.89976935,0.0
otd,4,347,1,904.81849261,788.6972121,0.1472317623651963,58.23172685,34.23172685,0.7011039818460107
otd,4,348,0,,,,,,
otd,4,349,1,915.3191413000001,915.3191413,1.2420458897008323e-16,31.467738413000006,31.46773841,9.533596134758682e-11
otd,4,350,1,1100.0627087999999,855.4680012,0.2859191778732774,81.20443652,39.20443652,1.0713073245823557
otd,4,351,1,852.0552801000001,851.7395678,0.0003706676452939193,41.650121865,37.53191459,0.10972547816937794
otd,4,352,0,,,,,,
otd,4,353,1,438.9654634,438.9654634,0.0,19.093338847,19.09333885,-1.5712287027014327e-10
otd,4,354,1,245.5998838,245.5998838,0.0,8.245203931000006,8.245203931,6.661338147750939e-16
otd,4,355,1,1233.46564,1198.708057,0.028995870009406167,66.09206978700001,48.09206979,0.3742820817569146
otd,4,356,1,1522.0068154,1464.64073,0.039167342697072186,67.18612445599999,61.18612446,0.09806144855476906
otd,4,357,1,217.7409579,217.7409579,0.0,6.594898213999997,6.594898214,-4.440892098500626e-16
otd,4,358,1,240.8789548,240.8789548,0.0,6.8003243889999965,6.800324389,-5.551115123125783e-16
otd,4,359,1,764.7451148,764.7451148,0.0,32.137530522999995,32.13753052,9.334866213350779e-11
otd,4,360,1,677.9569548000001,677.9541351,4.1591309117333295e-6,43.467738413000006,25.46773841,0.7067765387417457
otd,4,361,1,1093.8509318,1053.046955,0.038748487525895624,44.466719451,44.46671945,2.2488899631412096e-11
otd,4,362,1,246.8461583,246.8461583,0.0,7.146470261999994,7.146470262,-8.881784197001252e-16
