varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,0,5197,18,18,42.0,48.0,34.99999993258427
y,0,5198,18,18,48.0,54.0,34.99999993258427
y,0,5199,18,18,54.0,60.0,34.99999993258427
y,0,5200,18,18,60.0,66.0,35.99999993258427
y,0,5201,18,18,66.0,72.0,35.99999993258427
y,0,5202,19,19,0.0,6.0,37.0
y,0,5203,19,19,6.0,12.0,37.0
y,0,5204,19,19,12.0,18.0,35.0
y,0,5205,19,19,18.0,24.0,35.0
y,0,5206,19,19,24.0,30.0,36.0
y,0,5207,19,19,30.0,36.0,36.0
y,0,5208,19,19,36.0,42.0,35.0
y,0,5209,19,19,42.0,48.0,35.0
y,0,5210,19,19,48.0,54.0,35.0
y,0,5211,19,19,54.0,60.0,35.0
y,0,5212,19,19,60.0,66.0,35.0
y,0,5213,19,19,66.0,72.0,35.0
y,0,5214,20,20,0.0,6.0,38.0
y,0,5215,20,20,6.0,12.0,38.0
y,0,5216,20,20,12.0,18.0,38.0
y,0,5217,20,20,18.0,24.0,38.0
y,0,5218,20,20,24.0,30.0,38.0
y,0,5219,20,20,30.0,36.0,38.0
y,0,5220,20,20,36.0,42.0,38.0
y,0,5221,20,20,42.0,48.0,38.0
y,0,5222,20,20,48.0,54.0,38.0
y,0,5223,20,20,54.0,60.0,38.0
y,0,5224,20,20,60.0,66.0,38.0
y,0,5225,20,20,66.0,72.0,38.0
y,0,5226,21,21,0.0,6.0,38.0
y,0,5227,21,21,6.0,12.0,38.0
y,0,5228,21,21,12.0,18.0,38.000000000000014
y,0,5229,21,21,18.0,24.0,38.000000000000014
y,0,5230,21,21,24.0,30.0,40.000000000000014
y,0,5231,21,21,30.0,36.0,40.000000000000014
y,0,5232,21,21,36.0,42.0,40.00000006741575
y,0,5233,21,21,42.0,48.0,40.00000006741575
y,0,5234,21,21,48.0,54.0,38.00000006741575
y,0,5235,21,21,54.0,60.0,38.00000006741575
y,0,5236,21,21,60.0,66.0,38.00000006741575
y,0,5237,21,21,66.0,72.0,38.00000006741575
y,0,5238,22,22,0.0,6.0,37.0
y,0,5239,22,22,6.0,12.0,37.0
y,0,5240,22,22,12.0,18.0,37.0
y,0,5241,22,22,18.0,24.0,36.99999993258427
y,0,5242,22,22,24.0,30.0,35.99999993258427
y,0,5243,22,22,30.0,36.0,35.99999993258427
y,0,5244,22,22,36.0,42.0,36.99999993258427
y,0,5245,22,22,42.0,48.0,36.99999993258427
y,0,5246,22,22,48.0,54.0,36.99999993258427
y,0,5247,22,22,54.0,60.0,37.0
y,0,5248,22,22,60.0,66.0,37.0
y,0,5249,22,22,66.0,72.0,37.0
y,0,5250,23,23,0.0,6.0,38.0
y,0,5251,23,23,6.0,12.0,38.0
